epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,7767.44,1.37975,0.88616,1.45118,0.86437,0.73607,0.82995,0.43099,1.69321,0.92751,1.72858,0.0007724,0.0007724,0.0007724
64,7874.32,1.34812,0.88373,1.42825,0.86755,0.76246,0.82486,0.43412,1.66736,0.94886,1.71707,0.0007526,0.0007526,0.0007526
65,7980.71,1.34016,0.8644,1.41851,0.81552,0.79078,0.7949,0.41094,1.69226,0.9339,1.73145,0.0007328,0.0007328,0.0007328
66,8087.04,1.35042,0.85063,1.41755,0.87759,0.77273,0.82443,0.42884,1.67242,0.91865,1.70537,0.000713,0.000713,0.000713
67,8220.78,1.31877,0.85589,1.40264,0.83069,0.78413,0.82018,0.41962,1.68695,0.91212,1.74104,0.0006932,0.0006932,0.0006932
68,8327.5,1.30852,0.8358,1.40131,0.87157,0.75367,0.81207,0.42859,1.64917,0.88386,1.71484,0.0006734,0.0006734,0.0006734
69,8433.94,1.30592,0.83411,1.39668,0.87539,0.76223,0.82344,0.42104,1.70593,0.91018,1.75493,0.0006536,0.0006536,0.0006536
70,8577.52,1.29485,0.80881,1.39759,0.85297,0.75073,0.81491,0.43156,1.66317,0.90357,1.7071,0.0006338,0.0006338,0.0006338
71,8683.54,1.27929,0.80459,1.38103,0.87042,0.76246,0.8323,0.42322,1.72584,0.89099,1.76352,0.000614,0.000614,0.000614
72,8790.48,1.2902,0.79591,1.37778,0.83605,0.77419,0.81226,0.42108,1.67592,0.90341,1.73068,0.0005942,0.0005942,0.0005942
73,8896.6,1.28711,0.80063,1.36301,0.85401,0.74621,0.80778,0.42775,1.68719,0.92186,1.7427,0.0005744,0.0005744,0.0005744
74,9003.34,1.25418,0.78205,1.3604,0.89688,0.7478,0.82415,0.4259,1.69367,0.89417,1.77572,0.0005546,0.0005546,0.0005546
75,9110.03,1.27277,0.7685,1.36956,0.89527,0.76393,0.83795,0.43524,1.66252,0.85676,1.74568,0.0005348,0.0005348,0.0005348
76,9247.44,1.24703,0.77044,1.36767,0.86972,0.7654,0.8284,0.43085,1.67753,0.885,1.73747,0.000515,0.000515,0.000515
77,9353.56,1.25438,0.76405,1.3429,0.87113,0.78739,0.83771,0.43287,1.68142,0.87141,1.75331,0.0004952,0.0004952,0.0004952
78,9460.12,1.2574,0.77063,1.347,0.88073,0.75794,0.82618,0.42911,1.68305,0.88771,1.75079,0.0004754,0.0004754,0.0004754
79,9566.81,1.24061,0.75794,1.33942,0.88883,0.78299,0.83237,0.42475,1.71334,0.85732,1.78009,0.0004556,0.0004556,0.0004556
80,9679.11,1.20717,0.74704,1.32836,0.83918,0.78044,0.82072,0.42491,1.67742,0.86822,1.76229,0.0004358,0.0004358,0.0004358
81,9817.39,1.21075,0.74998,1.33621,0.90862,0.72874,0.82902,0.43333,1.6559,0.84329,1.74824,0.000416,0.000416,0.000416
82,9923.48,1.22582,0.76443,1.34141,0.86191,0.78446,0.82113,0.43203,1.67,0.85354,1.74873,0.0003962,0.0003962,0.0003962
83,10029.6,1.1959,0.72818,1.32956,0.87726,0.77553,0.83521,0.43243,1.67517,0.86344,1.75144,0.0003764,0.0003764,0.0003764
84,10175.4,1.19304,0.71047,1.32511,0.88014,0.7434,0.82451,0.4274,1.67279,0.88177,1.75657,0.0003566,0.0003566,0.0003566
85,10292.9,1.18175,0.71694,1.31638,0.84149,0.75953,0.81663,0.4362,1.67576,0.86014,1.767,0.0003368,0.0003368,0.0003368
86,10463,1.16396,0.70189,1.31156,0.87906,0.75367,0.81721,0.42781,1.69381,0.86373,1.79097,0.000317,0.000317,0.000317
87,10605.1,1.16544,0.70306,1.307,0.87203,0.75367,0.81943,0.42895,1.69484,0.84385,1.79684,0.0002972,0.0002972,0.0002972
88,10722.2,1.12283,0.66967,1.28102,0.82938,0.78446,0.81591,0.43587,1.66212,0.82764,1.77948,0.0002774,0.0002774,0.0002774
89,10870.6,1.15027,0.68731,1.29594,0.89105,0.76753,0.81901,0.43304,1.66813,0.83213,1.7674,0.0002576,0.0002576,0.0002576
90,10982.8,1.12813,0.68994,1.27053,0.89262,0.75569,0.82633,0.42915,1.69463,0.8474,1.77384,0.0002378,0.0002378,0.0002378
91,11118.9,1.0977,0.59028,1.26704,0.87061,0.7498,0.8164,0.43409,1.66782,0.84644,1.75916,0.000218,0.000218,0.000218
92,11224.8,1.0739,0.57639,1.26191,0.87554,0.77566,0.83471,0.44011,1.66742,0.83774,1.77364,0.0001982,0.0001982,0.0001982
93,11366.2,1.05939,0.5623,1.24992,0.87012,0.77602,0.84113,0.43842,1.66564,0.82932,1.77826,0.0001784,0.0001784,0.0001784
94,11509.5,1.04163,0.54821,1.22669,0.8826,0.79326,0.84565,0.44221,1.67633,0.81304,1.78495,0.0001586,0.0001586,0.0001586
95,11646.5,1.03028,0.54699,1.22463,0.84799,0.78886,0.83295,0.44018,1.66292,0.81644,1.7921,0.0001388,0.0001388,0.0001388
96,11780.8,1.02247,0.53325,1.21693,0.87418,0.7844,0.83123,0.44312,1.6851,0.81855,1.82219,0.000119,0.000119,0.000119
97,11935.4,1.02138,0.53507,1.22059,0.87698,0.78398,0.83654,0.44132,1.67389,0.81025,1.79592,9.92e-05,9.92e-05,9.92e-05
98,12070.1,1.01924,0.53036,1.21948,0.87711,0.78592,0.83487,0.44528,1.66527,0.80735,1.79632,7.94e-05,7.94e-05,7.94e-05
99,12218,1.00045,0.52452,1.209,0.87756,0.77769,0.83003,0.44328,1.66763,0.80811,1.79968,5.96e-05,5.96e-05,5.96e-05
100,12330,0.99692,0.51436,1.20666,0.86847,0.77419,0.82211,0.4395,1.68136,0.80564,1.81107,3.98e-05,3.98e-05,3.98e-05
