epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,283.976,1.62797,1.60308,1.63391,0.52145,0.33962,0.30703,0.1331,2.05079,2.26738,1.99586,0.000911,0.000911,0.000911
57,288.862,1.59574,1.58226,1.6456,0.53871,0.37466,0.32151,0.14359,2.03446,2.09179,1.99847,0.0008912,0.0008912,0.0008912
58,293.522,1.47065,1.54087,1.54645,0.4902,0.29043,0.31442,0.14631,1.96732,2.09705,1.95512,0.0008714,0.0008714,0.0008714
59,298.655,1.46573,1.47449,1.50743,0.47847,0.32075,0.3193,0.14177,1.94549,2.08277,1.96309,0.0008516,0.0008516,0.0008516
60,305.334,1.46968,1.62593,1.4913,0.49957,0.33962,0.29747,0.13683,1.97451,2.10215,2.00177,0.0008318,0.0008318,0.0008318
61,309.939,1.48719,1.51089,1.56827,0.45327,0.37736,0.29263,0.1269,1.92245,2.07214,1.96978,0.000812,0.000812,0.000812
62,314.882,1.38446,1.49316,1.49251,0.4348,0.39623,0.30437,0.12279,2.10519,2.00676,2.06417,0.0007922,0.0007922,0.0007922
63,319.559,1.41348,1.39445,1.46403,0.40282,0.3564,0.3015,0.13943,2.0803,1.971,2.04098,0.0007724,0.0007724,0.0007724
64,325.174,1.5221,1.48558,1.56405,0.54208,0.35849,0.34901,0.16271,2.0361,1.8224,1.97814,0.0007526,0.0007526,0.0007526
65,330.536,1.43051,1.57612,1.55003,0.46001,0.41795,0.37305,0.16963,2.03016,1.81047,2.01165,0.0007328,0.0007328,0.0007328
66,336.462,1.36448,1.42006,1.47848,0.51255,0.41509,0.35602,0.16347,2.00651,1.955,1.99197,0.000713,0.000713,0.000713
67,341.348,1.26537,1.34315,1.37567,0.52543,0.45967,0.40127,0.18687,2.0471,2.02722,2.11497,0.0006932,0.0006932,0.0006932
68,346.813,1.29959,1.34702,1.44703,0.49714,0.4664,0.35555,0.16788,1.97316,1.93346,2.022,0.0006734,0.0006734,0.0006734
69,352.597,1.38963,1.45888,1.51279,0.43909,0.45283,0.3222,0.14535,2.01221,1.91319,2.02232,0.0006536,0.0006536,0.0006536
70,357.125,1.37314,1.31613,1.45022,0.44861,0.41509,0.33415,0.14718,2.10544,2.05284,2.09291,0.0006338,0.0006338,0.0006338
71,364.148,1.29913,1.29863,1.4514,0.53461,0.37736,0.37361,0.16467,2.07023,1.91952,2.10277,0.000614,0.000614,0.000614
72,368.7,1.36001,1.29206,1.40982,0.57117,0.35849,0.38115,0.18519,2.03208,1.86196,2.07576,0.0005942,0.0005942,0.0005942
73,373.493,1.38999,1.3185,1.4501,0.39987,0.49057,0.3942,0.19371,2.03303,1.85358,2.03983,0.0005744,0.0005744,0.0005744
74,384.617,1.35508,1.24817,1.44382,0.41281,0.45283,0.39906,0.19951,2.03258,1.90769,2.05654,0.0005546,0.0005546,0.0005546
75,390.094,1.31078,1.27729,1.42322,0.53763,0.37305,0.39278,0.19564,1.99543,1.94077,2.01137,0.0005348,0.0005348,0.0005348
76,394.751,1.27133,1.18598,1.35206,0.51174,0.41509,0.40888,0.20428,1.909,2.02295,1.92311,0.000515,0.000515,0.000515
77,400.93,1.38804,1.2606,1.4717,0.57118,0.39623,0.40828,0.21307,1.87139,2.09039,1.91347,0.0004952,0.0004952,0.0004952
78,410.942,1.32361,1.24836,1.37946,0.48133,0.41509,0.38993,0.21826,1.87131,2.10729,1.90772,0.0004754,0.0004754,0.0004754
79,421.633,1.24256,1.21208,1.36015,0.52621,0.39623,0.40355,0.20591,1.8686,2.00603,1.92982,0.0004556,0.0004556,0.0004556
80,426.754,1.23879,1.15039,1.30851,0.59473,0.35849,0.39928,0.20251,1.86019,1.92178,1.91743,0.0004358,0.0004358,0.0004358
81,431.299,1.24523,1.1991,1.38844,0.55966,0.37736,0.40479,0.20177,1.88372,1.92228,1.91181,0.000416,0.000416,0.000416
82,440.14,1.22693,1.11559,1.35346,0.49766,0.41509,0.41129,0.19386,1.96554,1.90065,1.99876,0.0003962,0.0003962,0.0003962
83,449.134,1.26079,1.10385,1.36808,0.65275,0.39026,0.40342,0.1923,1.97479,1.90428,2.04157,0.0003764,0.0003764,0.0003764
84,453.666,1.13718,1.0894,1.30416,0.55258,0.41509,0.38945,0.19387,1.94031,1.93059,1.98052,0.0003566,0.0003566,0.0003566
85,458.522,1.13411,1.09169,1.32084,0.55983,0.43396,0.38857,0.18827,1.93551,1.90293,1.97508,0.0003368,0.0003368,0.0003368
86,462.955,1.17185,1.12436,1.29349,0.65719,0.41509,0.40979,0.1878,1.98127,1.91815,1.99589,0.000317,0.000317,0.000317
87,468.338,1.27444,1.72612,1.45817,0.59771,0.4717,0.42649,0.19198,1.99229,1.96873,2.01099,0.0002972,0.0002972,0.0002972
88,473.192,1.22249,1.06323,1.35675,0.55574,0.42496,0.40634,0.18339,1.99608,1.95648,2.03126,0.0002774,0.0002774,0.0002774
89,478.461,1.27739,1.21414,1.38783,0.50997,0.47127,0.4056,0.18452,1.97956,1.88446,2.02244,0.0002576,0.0002576,0.0002576
90,483.341,1.16982,1.10766,1.34871,0.41262,0.50943,0.3924,0.19712,1.92446,1.85015,1.93311,0.0002378,0.0002378,0.0002378
91,489.062,1.21725,1.15752,1.39413,0.54382,0.45283,0.43256,0.21213,1.89795,1.82071,1.93222,0.000218,0.000218,0.000218
92,493.944,1.07984,0.96446,1.24024,0.5839,0.45283,0.42443,0.20282,1.88627,1.82425,1.91843,0.0001982,0.0001982,0.0001982
93,499.055,1.02132,0.94343,1.25061,0.5769,0.46319,0.41494,0.1962,1.89674,1.83796,1.92041,0.0001784,0.0001784,0.0001784
94,503.544,1.12469,1.0926,1.32506,0.56623,0.49057,0.42029,0.20808,1.91323,1.84281,1.92912,0.0001586,0.0001586,0.0001586
95,508.344,1.06577,0.97037,1.2253,0.51971,0.4717,0.41574,0.21636,1.90499,1.80793,1.90556,0.0001388,0.0001388,0.0001388
96,515.59,1.03861,0.9598,1.25249,0.49099,0.43396,0.39933,0.22285,1.84749,1.83974,1.87695,0.000119,0.000119,0.000119
97,520.851,1.08798,1.00167,1.30427,0.46372,0.50582,0.40478,0.22708,1.83922,1.84592,1.87824,9.92e-05,9.92e-05,9.92e-05
98,530.711,1.15937,0.98238,1.28116,0.48263,0.50943,0.41239,0.23029,1.84411,1.84409,1.87337,7.94e-05,7.94e-05,7.94e-05
99,542.034,0.9616,0.84533,1.1613,0.44744,0.4717,0.40812,0.23012,1.82681,1.82723,1.85605,5.96e-05,5.96e-05,5.96e-05
100,551.762,1.00357,1.01881,1.22379,0.45444,0.4715,0.39762,0.22376,1.82678,1.82763,1.86182,3.98e-05,3.98e-05,3.98e-05
